studentikoos	studentikoze
vierhonderdtweede	
vijfhonderdtweede	
achthonderdeneerste	
zeshonderdtweede	
tweehonderdtweede	
zevenhonderdtweede	
negenhonderdtweede	
driehonderdtweede	
zeven miljoenste	
honderdtweede	
achthonderdtweede	
zes miljoenste	
twee biljoenste	
een miljoenste	
een biljoenste	
vier miljoenste	
twee miljoenste	
vijf miljoenste	
algemeen vormend	algemeen vormende
drie miljoenste	
negen miljoenste	
zes biljoenste	
tien biljoenste	
acht biljoenste	
acht miljoenste	
vierhonderdeneerste	
drie biljoenste	
zeven biljoenste	
vijf biljoenste	
tien miljoenste	
vier biljoenste	
een miljardste	
negen biljoenste	
zes miljardste	
drie miljardste	
acht miljardste	
zevenhonderdentweede	
tien miljardste	
tweehonderdentweede	
elfduizendste	
vierhonderdentweede	
zesduizendste	
vier miljardste	
negen miljardste	
driehonderdentweede	
vijf miljardste	
negenduizendste	
vierduizendste	
achthonderdentweede	
vijfhonderdentweede	
twee miljardste	
dertigduizendste	
negenhonderdentweede	
zevenduizendste	
drieduizendste	
tweeduizendste	
twaalfduizendste	
vijfhonderdduizendste	
zeven miljardste	
tachtigduizendste	
vijfduizendste	
zestigduizendste	
zeventienduizendste	
tweehonderdduizendste	
zeshonderdentweede	
veertienduizendste	
achttienduizendste	
vijftienduizendste	
driehonderdduizendste	
vierhonderdduizendste	
negentienduizendste	
achthonderdduizendste	
negenhonderdduizendste	
zestienduizendste	
zeshonderdduizendste	
veertigduizendste	
zeventigduizendste	
negentigduizendste	
vijftigduizendste	
zevenhonderdduizendste	
twintigduizendste	
honderdentweede	
stemkundig	stemkundige
dertienduizendste	
achtduizendste	
negende-eeuws	negende-eeuwse
eerste-eeuws	eerste-eeuwse
vijftiende-eeuws	vijftiende-eeuwse
tiende-eeuws	tiende-eeuwse
derde-eeuws	derde-eeuwse
dertiende-eeuws	dertiende-eeuwse
branieachtig	branieachtige
eenentwintigste-eeuws	eenentwintigste-eeuwse
vierde-eeuws	vierde-eeuwse
veertiende-eeuws	veertiende-eeuwse
vijfde-eeuws	vijfde-eeuwse
elfde-eeuws	elfde-eeuwse
twaalfde-eeuws	twaalfde-eeuwse
achtste-eeuws	achtste-eeuwse
zevende-eeuws	zevende-eeuwse
tweede-eeuws	tweede-eeuwse
11de-eeuws	11de-eeuwse
12e-eeuws	12e-eeuwse
1e-eeuws	1e-eeuwse
7de-eeuws	7de-eeuwse
13de-eeuws	13de-eeuwse
13e-eeuws	13e-eeuwse
15e-eeuws	15e-eeuwse
10e-eeuws	10e-eeuwse
17e-eeuws	17e-eeuwse
11e-eeuws	11e-eeuwse
16e-eeuws	16e-eeuwse
10de-eeuws	10de-eeuwse
6de-eeuws	6de-eeuwse
16de-eeuws	16de-eeuwse
15de-eeuws	15de-eeuwse
14e-eeuws	14e-eeuwse
18e-eeuws	18e-eeuwse
14de-eeuws	14de-eeuwse
12de-eeuws	12de-eeuwse
7e-eeuws	7e-eeuwse
5de-eeuws	5de-eeuwse
4e-eeuws	4e-eeuwse
hoofdredactioneel	hoofdredactionele
5e-eeuws	5e-eeuwse
20e-eeuws	20e-eeuwse
3de-eeuws	3de-eeuwse
20ste-eeuws	20ste-eeuwse
3e-eeuws	3e-eeuwse
21e-eeuws	21e-eeuwse
2e-eeuws	2e-eeuwse
100ste	
12e	
4de-eeuws	4de-eeuwse
8ste-eeuws	8ste-eeuwse
101e	
9e-eeuws	9e-eeuwse
11de	
achttiende-eeuws	achttiende-eeuwse
101ste	
1ste-eeuws	1ste-eeuwse
10e	
100e	
21ste-eeuws	21ste-eeuwse
102e	
17de-eeuws	17de-eeuwse
10de	
12de	
11e	
13de	
19de-eeuws	19de-eeuwse
18de-eeuws	18de-eeuwse
9de-eeuws	9de-eeuwse
102de	
2de-eeuws	2de-eeuwse
14e	
6e-eeuws	6e-eeuwse
13e	
8e-eeuws	8e-eeuwse
15de	
16de	
16e	
18de	
202de	
200ste	
14de	
201ste	
19e	
202e	
201e	
17de	
15e	
22e	
20ste	
200e	
21ste	
1e	
19de	
18e	
22ste	
2de	
33e	
302de	
300ste	
3e	
302e	
5de	
301e	
7de	
30ste	
300e	
3de	
2e	
402de	
400ste	
502de	
33ste	
401ste	
4de	
301ste	
9de	
702de	
50ste	
1ste	
500ste	
602de	
601ste	
6de	
40ste	
55ste	
30e	
902de	
66ste	
44ste	
600ste	
88ste	
400e	
70ste	
700ste	
60ste	
77ste	
40e	
800ste	
701ste	
99ste	
801ste	
8ste	
602e	
901ste	
402e	
802de	
900ste	
401e	
66e	
17e	
502e	
80ste	
601e	
90ste	
501e	
600e	
500e	
800e	
77e	
60e	
5e	
50e	
55e	
90e	
7e	
801e	
700e	
70e	
701e	
901e	
702e	
6e	
99e	
88e	
8e	
900e	
902e	
802e	
80e	
44e	
501ste	
9e	
wildenthousiast	wildenthousiaste
19e-eeuws	19e-eeuwse
West-Europees	West-Europese
AOV-gerechtigd	AOV-gerechtigde
Wels	
Ålands	Ålandse
warmvoelend	warmvoelende
webbased	
webgebaseerd	webgebaseerde
waardegebonden	waardegebondenste
baksteenrood	
waardegedreven	waardegedrevenste
wateroplosbaar	wateroplosbare
archivalisch	archivalische
alakondre	
artritisch	artritische
autoritatief	autoritatieve
baksis	
anticyclisch	anticyclische
arty	artyste
autodidactisch	autodidactische
autarkisch	autarkische
bicultureel	biculturele
anterieur	anterieure
beterkoop	
assorti	
conatief	conatieve
concessioneel	concessionele
concludent	concludente
cholesterolverhogend	cholesterolverhogende
cholesterolverlagend	cholesterolverlagende
bruya	
breedgedragen	
ayurvedisch	ayurvedische
dilatoir	dilatoire
rood-wit-blauw	rood-wit-blauwe
b2b	
equinoctiaal	equinoctiale
concomitant	concomitante
machiavellistisch	machiavellistische
specieus	specieuze
cosy	cosyste
foxy	foxyste
begoed	begoede
loodvergiftigd	loodvergiftigde
bloedeerlijk	bloedeerlijke
appelblauwzeegroen	appelblauwzeegroene
strontziek	strontzieke
poepchic	poepchique
capacitief	capacitieve
handtammig	handtammige
embedded	
blankhouten	
niet-centraal	niet-centrale
crapuleus	crapuleuze
geslachtsneutraal	geslachtsneutrale
gejost	gejoste
favo	
splitlevel	
factueel	factuele
veelgehoord	veelgehoorde
gereputeerd	gereputeerde
geverseerd	
kiut	
fytosanitair	fytosanitaire
houtbesparend	houtbesparende
wappie	
ijsglad	ijsgladde
gesyndikeerd	gesyndikeerde
cassant	cassante
Westfaals	
intimistisch	intimistische
interbestuurlijk	interbestuurlijke
hermeneutisch	hermeneutische
knoerthard	knoertharde
impressionant	impressionante
intransparant	intransparante
fluogeel	
huilen met de pet op	(alleen
besluitloos	besluitloze
laidback	
lesbi	
metropolitaan	
krioyo	
mandelig	mandelige
interlevensbeschouwelijk	interlevensbeschouwelijke
beleidsarm	beleidsarme
beleidsluw	beleidsluwe
luchtwaardig	luchtwaardige
ob-vrij	ob-vrije
machistisch	machistische
muzikantesk	muzikanteske
Gorontalees	
originees	originese
nonsensicaal	nonsensicale
paulinisch	paulinische
sociaalliberaal	sociaalliberale
oldskool	
minoïsch	minoïsche
mimetisch	mimetische
platoons	platoonse
Nederlandsgezind	
belgofiel	
ciceroniaans	ciceroniaanse
lipsiaans	lipsiaansere
Lulliaans	Lulliaanse
participatief	participatieve
hollandofiel	
neerlandofiel	
slick	slicke
sloganesk	sloganeske
salesianer	
vitrokeramisch	vitrokeramische
prudentieel	prudentiële
vastbenoemd	vastbenoemde
dieperliggend	dieperliggende
lichterlaaie	
veernervig	veernervige
verrimpeld	verrimpelde
verstrengd	verstrengde
punitief	punitieve
reli	
visibel	visibele
sthenisch	sthenische
unverfroren	unverfrorene
escapistisch	escapistische
ethologisch	ethologische
essentialistisch	essentialistische
eugenetisch	eugenetische
essayistisch	essayistische
eutectisch	eutectische
faraonisch	faraonische
evolutionistisch	evolutionistische
fatisch	fatische
fauvistisch	fauvistische
eucharistisch	eucharistische
etnologisch	etnologische
fetisjistisch	fetisjistische
existentialistisch	existentialistische
finalistisch	finalistische
expansionistisch	expansionistische
gaullistisch	gaullistische
fotochromisch	fotochromische
filologisch	filologische
exegetisch	exegetische
federalistisch	federalistische
fysiatrisch	fysiatrische
floristisch	floristische
fenomenologisch	fenomenologische
functionalistisch	functionalistische
gerontologisch	gerontologische
fylogenetisch	fylogenetische
fysiocratisch	fysiocratische
expressionistisch	expressionistische
gastro-enterologisch	gastro-enterologische
fotogrammetrisch	fotogrammetrische
germanistisch	germanistische
genealogisch	genealogische
fotonisch	fotonische
hemolytisch	hemolytische
herculisch	herculische
hegemonisch	hegemonische
hyperglycemisch	hyperglycemische
exhibitionistisch	exhibitionistische
hanzeatisch	hanzeatische
hallucinatorisch	hallucinatorische
glagolitisch	glagolitische
heraldisch	heraldische
grammatisch	grammatische
historistisch	historistische
hippocratisch	hippocratische
homeostatisch	homeostatische
historiografisch	historiografische
hindoeïstisch	hindoeïstische
hiëroglifisch	hiëroglifische
iconologisch	iconologische
hypoglycemisch	hypoglycemische
iconografisch	iconografische
improvisatorisch	improvisatorische
filatelistisch	filatelistische
hiëratisch	hiëratische
illusionistisch	illusionistische
impressionistisch	impressionistische
internationalistisch	internationalistische
hypertonisch	hypertonische
fosforisch	fosforische
hydrologisch	hydrologische
islamologisch	islamologische
irrealistisch	irrealistische
intellectualistisch	intellectualistische
interventionistisch	interventionistische
ionosferisch	ionosferische
isotopisch	isotopische
jezuïtisch	jezuïtische
japanologisch	japanologische
futurologisch	futurologische
isolationistisch	isolationistische
joachimitisch	joachimitische
journalistisch	journalistische
jurassisch	jurassische
kalligrafisch	kalligrafische
kannibalistisch	kannibalistische
klonisch	klonische
kathodisch	kathodische
kolonialistisch	kolonialistische
katalytisch	katalytische
klastisch	klastische
alleenwonend	alleenwonende
kynologisch	kynologische
legalistisch	legalistische
lexicografisch	lexicografische
laryngoscopisch	laryngoscopische
laïcistisch	laïcistische
kwadratisch	kwadratische
kosmologisch	kosmologische
labyrintisch	labyrintische
lepidopterologisch	lepidopterologische
lexicologisch	lexicologische
logopedisch	logopedische
liberalistisch	liberalistische
majestatisch	majestatische
magnetronisch	magnetronische
literarisch	literarische
mammografisch	mammografische
magmatisch	magmatische
maniëristisch	maniëristische
mechanistisch	mechanistische
antisociaal	antisociale
maronitisch	maronitische
mefistofelisch	mefistofelische
mechanografisch	mechanografische
mennonitisch	mennonitische
mensjewistisch	mensjewistische
mercantilistisch	mercantilistische
metronomisch	metronomische
antioorlog	
meritocratisch	meritocratische
avant-gardistisch	avant-gardistische
messianistisch	messianistische
modernistisch	modernistische
mineralogisch	mineralogische
monistisch	monistische
monetaristisch	monetaristische
motivisch	motivische
monotheïstisch	monotheïstische
monotonisch	monotonische
musicologisch	musicologische
monostrofisch	monostrofische
mystisch	mystische
nefrologisch	nefrologische
narcotisch	narcotische
musisch	musische
naturalistisch	naturalistische
neorenaissancistisch	neorenaissancistische
neonatologisch	neonatologische
negationistisch	negationistische
negativistisch	negativistische
kraafs	kraafse
neuralgisch	neuralgische
napoleontisch	napoleontische
neurasthenisch	neurasthenische
obscurantistisch	obscurantistische
metallurgisch	metallurgische
museologisch	museologische
obligatorisch	obligatorische
neutralistisch	neutralistische
oceanografisch	oceanografische
monosyllabisch	monosyllabische
oncologisch	oncologische
oenologisch	oenologische
oligarchisch	oligarchische
orfisch	orfische
orthoagogisch	orthoagogische
orgastisch	orgastische
oriëntalistisch	oriëntalistische
orgiastisch	orgiastische
neuropathisch	neuropathische
orthodontisch	orthodontische
ornithologisch	ornithologische
orthopedagogisch	orthopedagogische
antisocialistisch	antisocialistische
geodetisch	geodetische
osteopathisch	osteopathische
bedrijfskritisch	bedrijfskritische
pamflettistisch	pamflettistische
paganistisch	paganistische
pantomimisch	pantomimische
paralinguïstisch	paralinguïstische
parasitologisch	parasitologische
pathognostisch	pathognostische
parodontologisch	parodontologische
patricisch	patricische
paretisch	paretische
papyrologisch	papyrologische
parergisch	parergische
parasympathisch	parasympathische
pandemisch	pandemische
chadasjot	
patriarchisch	patriarchische
pelorisch	pelorische
pederastisch	pederastische
perinatologisch	perinatologische
periferisch	periferische
particularistisch	particularistische
patriottistisch	patriottistische
pianistisch	pianistische
peronistisch	peronistische
pindarisch	pindarische
personalistisch	personalistische
perspectivisch	perspectivische
periodisch	periodische
plutocratisch	plutocratische
chadasjiem	
pointillistisch	pointillistische
podologisch	podologische
politicologisch	politicologische
polemologisch	polemologische
pneumologisch	pneumologische
polygrafisch	polygrafische
positivistisch	positivistische
chazak	
pragmatistisch	pragmatistische
primitivistisch	primitivistische
pugilistisch	
prismatisch	prismatische
gedoliem	
prototypisch	prototypische
proleptisch	proleptische
protozoïsch	protozoïsche
provincialistisch	provincialistische
piëtistisch	piëtistische
probiotisch	probiotische
psychopedagogisch	psychopedagogische
propedeutisch	propedeutische
proclitisch	proclitische
pythagorisch	pythagorische
respiratorisch	respiratorische
publicistisch	publicistische
propagandistisch	propagandistische
puristisch	puristische
reflectorisch	reflectorische
rapsodisch	rapsodische
quiëtistisch	quiëtistische
radiotherapeutisch	radiotherapeutische
rachitisch	rachitische
regionalistisch	regionalistische
reductionistisch	reductionistische
regulatorisch	regulatorische
prothetisch	prothetische
responsorisch	responsorische
reformistisch	reformistische
renaissancistisch	renaissancistische
relativistisch	relativistische
satanistisch	satanistische
revisionistisch	revisionistische
röntgenologisch	röntgenologische
revanchistisch	revanchistische
seksuologisch	seksuologische
ritualistisch	ritualistische
sandinistisch	sandinistische
sociopathisch	sociopathische
sjamanistisch	sjamanistische
signifisch	signifische
semiotisch	semiotische
sociocratisch	sociocratische
solidaristisch	solidaristische
sinologisch	sinologische
seismologisch	seismologische
royalistisch	royalistische
sociodemografisch	sociodemografische
spectroscopisch	spectroscopische
spirantisch	spirantische
speleologisch	speleologische
steganografisch	steganografische
stratigrafisch	stratigrafische
sterisch	sterische
suprematistisch	suprematistische
stratosferisch	stratosferische
stenografisch	stenografische
syncretisch	syncretische
syncretistisch	syncretistische
syfilitisch	syfilitische
spiritualistisch	spiritualistische
syllogistisch	syllogistische
symbolistisch	symbolistische
syndicalistisch	syndicalistische
tantrisch	tantrische
taoïstisch	taoïstische
taxonomisch	taxonomische
synchronistisch	synchronistische
thermografisch	thermografische
synergistisch	synergistische
theocratisch	theocratische
totemistisch	totemistische
tellurisch	tellurische
theosofisch	theosofische
tautologisch	tautologische
takfiristisch	takfiristische
terminologisch	terminologische
thomistisch	thomistische
triomfalistisch	triomfalistische
theïstisch	theïstische
toponymisch	toponymische
vulkanologisch	vulkanologische
unionistisch	unionistische
unitaristisch	unitaristische
universalistisch	universalistische
traumatologisch	traumatologische
bedrijfsbreed	bedrijfsbrede
virologisch	virologische
typologisch	typologische
tsaristisch	tsaristische
utilistisch	utilistische
urbanistisch	urbanistische
transitorisch	transitorische
wahabitisch	wahabitische
solipsistisch	solipsistische
vandalistisch	vandalistische
spondeïsch	spondeïsche
vitalistisch	vitalistische
traditionalistisch	traditionalistische
kedosjot	
vibratorisch	vibratorische
synchronisch	synchronische
thermostatisch	thermostatische
augustijner	
violistisch	violistische
alleenzaligmakend	alleenzaligmakende
bedrijfszeker	bedrijfszekere
binnenschools	binnenschoolse
antimilitaristisch	antimilitaristische
agitatorisch	agitatorische
analogisch	analogische
alcoholistisch	alcoholistische
aerobisch	aerobische
absolutistisch	absolutistische
alawitisch	alawitische
alarmistisch	alarmistische
agrochemisch	agrochemische
alevitisch	alevitische
allochtonisch	allochtonische
alpinistisch	alpinistische
aleatorisch	aleatorische
antiquarisch	antiquarische
adiabatisch	adiabatische
anatolisch	anatolische
anamnestisch	anamnestische
anesthetisch	anesthetische
andragogisch	andragogische
sjemoerot	
antiglobalistisch	antiglobalistische
apologisch	apologische
arachnologisch	arachnologische
aplanatisch	aplanatische
archetypisch	archetypische
apoplectisch	apoplectische
aristotelisch	aristotelische
archaïstisch	archaïstische
aritmetisch	aritmetische
assyriologisch	assyriologische
avonturistisch	avonturistische
atavistisch	atavistische
atomistisch	atomistische
bariatrisch	bariatrische
arbeideristisch	arbeideristische
autologisch	autologische
autonomistisch	autonomistische
astrologisch	astrologische
bacchisch	bacchische
biomimetisch	biomimetische
bellettristisch	bellettristische
basaltisch	basaltische
audacieus	audacieuze
boulimisch	boulimische
cataleptisch	cataleptische
catastrofisch	catastrofische
behavioristisch	behavioristische
azoïsch	azoïsche
cineastisch	cineastische
bentisch	bentische
calorimetrisch	calorimetrische
boeddhologisch	boeddhologische
cachectisch	cachectische
bolsjewistisch	bolsjewistische
centralistisch	centralistische
cathartisch	cathartische
cinematografisch	cinematografische
catastrofistisch	catastrofistische
christologisch	christologische
choreografisch	choreografische
criminologisch	criminologische
cinematisch	cinematische
columnistisch	columnistische
coloristisch	coloristische
climacterisch	climacterische
chtonisch	chtonische
detaillistisch	detaillistische
cholinergisch	cholinergische
dactyloscopisch	dactyloscopische
delirisch	delirische
contradictorisch	contradictorische
cliëntelistisch	cliëntelistische
chiliastisch	chiliastische
cytologisch	cytologische
chromatografisch	chromatografische
constructivistisch	constructivistische
declamatorisch	declamatorische
creationistisch	creationistische
confucianistisch	confucianistische
astronautisch	astronautische
dichotomisch	dichotomische
dioptrisch	dioptrische
dadaïstisch	dadaïstische
deïstisch	deïstische
dilettantisch	dilettantische
darwinistisch	darwinistische
ecologistisch	ecologistische
efemerisch	efemerische
dirigistisch	dirigistische
demotisch	demotische
ekpyrotisch	ekpyrotische
diëtetisch	diëtetische
dialectologisch	dialectologische
echoscopisch	echoscopische
belgicistisch	belgicistische
elementaristisch	elementaristische
dyadisch	dyadische
dramaturgisch	dramaturgische
embryologisch	embryologische
econometrisch	econometrische
diëlektrisch	diëlektrische
cartografisch	cartografische
catatonisch	catatonische
embolisch	embolische
bedrijfsintern	bedrijfsinterne
exclusivistisch	exclusivistische
flamingantisch	flamingantische
fantasmatisch	fantasmatische
etiologisch	etiologische
epifytisch	epifytische
centristisch	centristische
fantasmagorisch	fantasmagorische
entomologisch	entomologische
faradisch	faradische
fortunistisch	fortunistische
factisch	factische
geodemografisch	geodemografische
generalistisch	generalistische
glykemisch	glykemische
hagiografisch	hagiografische
fonemisch	fonemische
hemorragisch	hemorragische
enzymatisch	enzymatische
homocratisch	homocratische
hussitisch	hussitische
horizontalistisch	horizontalistische
hobbyistisch	hobbyistische
dilettantistisch	dilettantistische
hydrotechnisch	hydrotechnische
hypoglykemisch	hypoglykemische
hyperglykemisch	hyperglykemische
ischemisch	ischemische
killografisch	killografische
macaronisch	macaronische
indologisch	indologische
karmisch	karmische
heterologisch	heterologische
psychotronisch	psychotronische
loyalistisch	loyalistische
oligopolistisch	oligopolistische
orthoptisch	orthoptische
maximalistisch	maximalistische
morfogenetisch	morfogenetische
pranisch	pranische
priapisch	priapische
pedantisch	pedantische
hematopoëtisch	hematopoëtische
centrumlinks	centrumlinkse
centrumrechts	centrumrechtse
chocolakleurig	chocolakleurige
activistisch	activistische
keeraafs	keeraafse
aafs	aafse
Adriatisch	Adriatische
Amerikaans-Iberisch	Amerikaans-Iberische
beroepsspecifiek	beroepsspecifieke
chitsoniem	
broechiem	
chatoef	
chaseer	
gadol	
chadasja	
vierdubbel	vierdubbele
habaïem	
habaä	
Hagedola	
katan	
jetera	
katon	
kadiesja	
kedosja	
oemetoeka	
noraïem	
sameach	
sjelisjiet	
sjeni	
tova	
sjemoera	
toviem	
wachomer	
Elysisch	Elysische
Cycladisch	Cycladische
Brits-Indisch	Brits-Indische
Attisch	Attische
Dorisch	Dorische
Babylonisch	Babylonische
Baltisch	Baltische
Frygisch	
Gaelisch	
Karolingisch	Karolingische
Kempisch	Kempische
bloeddrukverhogend	bloeddrukverhogende
Mesopotamisch	Mesopotamische
Rhodesisch	Rhodesische
Moskovisch	Moskovische
Salisch	Salische
Italisch	
Merovingisch	Merovingische
Sassanidisch	Sassanidische
Slavonisch	Slavonische
Pacifisch	Pacifische
anastatisch	anastatische
chocoladen	
bloeddrukverlagend	bloeddrukverlagende
cederhouten	
sjebeal	
sjebichtav	
boroech	
communicatievaardig	communicatievaardige
keurlijk	keurlijke
biogenetisch	biogenetische
beroepssecundair	beroepssecundaire
bitterkoud	bitterkoude
boomrijp	boomrijpe
consensueel	consensuele
contextgebonden	contextgebondenste
comorbide	
collageachtig	collageachtige
conflictvermijdend	conflictvermijdende
subassertief	subassertieve
elizabethaans	elizabethaanse
eerverleden	
conservatoir	conservatoire
ruziezoekend	ruziezoekende
elektroakoestisch	elektroakoestische
plaatsonafhankelijk	plaatsonafhankelijke
plaatsgebonden	plaatsgebondenere
eigengemaakt	eigengemaakte
eikenhouten	
gefilte	
goete	
horre	
kadiesje	
koudesj	
goet	
kesause	
werktuigelijk	werktuigelijke
eerstgenoemd	eerstgenoemde
energiebewust	energiebewuste
eengemaakt	eengemaakte
werkgerelateerd	werkgerelateerde
ebbenhouten	
ecovriendelijk	ecovriendelijke
boas	
eerstelijns	
enkellang	enkellange
energievretend	energievretende
laagstaand	laagstaande
grasrijk	grasrijke
laatachttiende-eeuws	laatachttiende-eeuwse
antistatisch	antistatische
raba	
collaboratief	collaboratieve
halfduister	halfduistere
heuvelafwaarts	heuvelafwaartse
goedgekleed	goedgeklede
versgebakken	
bouwtechnisch	bouwtechnische
muggenzifterig	muggenzifterige
niet-zelfbesturend	niet-zelfbesturende
onuitgenodigd	onuitgenodigde
parelgrijs	parelgrijze
roodomrand	roodomrande
strakgespannen	
ongemarkeerd	ongemarkeerde
spiraalsgewijs	spiraalsgewijze
karmozijnen	
Judees	Judese
niet-politiek	niet-politieke
schouderophalend	schouderophalende
roodstenen	
onstandvastig	onstandvastige
avondenlang	avondenlange
zongebruind	zongebruinde
antracietkleurig	antracietkleurige
wijdvertakt	wijdvertakte
ongefilterd	ongefilterde
jonggestorven	
goedwillend	goedwillende
nieuwverworven	
roodfluwelen	
goedgevuld	goedgevulde
turfachtig	turfachtige
onversneden	
gietijzeren	
nachtenlang	nachtenlange
roodverbrand	roodverbrande
onhartelijk	onhartelijke
onverslijtbaar	onverslijtbare
onvrouwelijk	onvrouwelijke
oninteressant	oninteressante
aadlijk	aadlijke
hoogstnoodzakelijk	hoogstnoodzakelijke
stronteigenwijs	stronteigenwijze
losliggend	losliggende
troostrijk	troostrijke
doodjammer	doodjammere
ongeïnspireerd	ongeïnspireerde
heuvelopwaarts	heuvelopwaartse
kalfsleren	
kortgeknipt	kortgeknipte
hulpzoekend	hulpzoekende
onopmerkelijk	onopmerkelijke
bleekgeel	bleekgele
oerconservatief	oerconservatieve
bordkartonnen	
dieptreurig	dieptreurige
geparenteerd	geparenteerde
fijnbesneden	
kwaadgezind	kwaadgezinde
gewoontegetrouw	gewoontegetrouwe
mousselinen	
gedrochtelijk	gedrochtelijke
drankzuchtig	drankzuchtige
hooggestemd	hooggestemde
onbeslagen	onbeslagenste
supertrots	supertrotse
gelijkluidend	gelijkluidende
heldergroen	heldergroene
onafgebouwd	onafgebouwde
onbeschroomd	onbeschroomde
goedgebekt	goedgebekte
diepbedroefd	diepbedroefde
hondsberoerd	hondsberoerde
graatmager	graatmagere
meerstemmig	meerstemmige
knaloranje	
onverbrekelijk	onverbrekelijke
tegenovergelegen	
onwellevend	onwellevende
schaduwrijk	schaduwrijke
vlasblond	vlasblonde
witgrijs	witgrijze
ruimvallend	ruimvallende
terneerdrukkend	terneerdrukkende
wedergeboren	
vurenhouten	
allervriendelijkst	allervriendelijkste
antinationaal	antinationale
gladgeschoren	
scrofuleus	scrofuleuze
krampstillend	krampstillende
slechtgemanierd	slechtgemanierde
godsvruchtig	godsvruchtige
onbedachtzaam	onbedachtzame
witzijden	
onaangelijnd	onaangelijnde
onbevattelijk	onbevattelijke
randvoorwaardelijk	randvoorwaardelijke
onverstoord	onverstoorde
onverbreekbaar	onverbreekbare
ongelijkmatig	ongelijkmatige
jaloersmakend	jaloersmakende
hardgekookt	hardgekookte
allerheiligst	allerheiligste
allermeest	allermeeste
halfbevroren	
dolenthousiast	dolenthousiaste
duimendik	duimendikke
handgesneden	
frisgewassen	
hypoallergeen	hypoallergene
halfvergeten	
hoogwelgeboren	
gezichtsbepalend	gezichtsbepalende
hondsmoeilijk	hondsmoeilijke
gevoelsarm	gevoelsarme
laagfrequent	laagfrequente
onbenaderbaar	onbenaderbare
onpatriottisch	onpatriottische
paginagroot	paginagrote
natuurgetrouw	natuurgetrouwe
ongestructureerd	ongestructureerde
halfdronken	
geslachtsgebonden	geslachtsgebondenste
monochromatisch	monochromatische
onopgevoed	onopgevoede
plichtgetrouw	plichtgetrouwe
onzakelijk	onzakelijke
felbegeerd	felbegeerde
orakelachtig	orakelachtige
smeedijzeren	
transcontinentaal	transcontinentale
sneeuwvrij	sneeuwvrije
stikheet	stikhete
donkerpaars	donkerpaarse
schadevrij	schadevrije
copernicaans	copernicaanse
alcoholverslaafd	alcoholverslaafde
geothermisch	geothermische
blauwzwart	blauwzwarte
welomschreven	
lichtblond	lichtblonde
witgloeiend	witgloeiende
levenwekkend	levenwekkende
ongearticuleerd	ongearticuleerde
oncollegiaal	oncollegiale
ontplofbaar	ontplofbare
natuurwetenschappelijk	natuurwetenschappelijke
ongetemperd	ongetemperde
viltachtig	viltachtige
onvolgroeid	onvolgroeide
onspeelbaar	onspeelbare
rechtopstaand	rechtopstaande
schemerdonker	schemerdonkere
onherleidbaar	onherleidbare
realiseerbaar	realiseerbare
ongeveinsd	ongeveinsde
roodkoperen	
Russisch-orthodox	Russisch-orthodoxe
Syrisch-orthodox	Syrisch-orthodoxe
koptisch-orthodox	koptisch-orthodoxe
christelijk-orthodox	christelijk-orthodoxe
panorthodox	panorthodoxe
oosters-orthodox	oosters-orthodoxe
joods-orthodox	joods-orthodoxe
ultraorthodox	ultraorthodoxe
geproportioneerd	geproportioneerde
eerstgeboren	
orthodox-religieus	orthodox-religieuze
orthodox-joods	orthodox-joodse
orthodox-christelijk	orthodox-christelijke
orthodox-communistisch	orthodox-communistische
orthodox-protestants	orthodox-protestantse
orthodox-islamitisch	orthodox-islamitische
gezagsgetrouw	gezagsgetrouwe
orthodox-gereformeerd	orthodox-gereformeerde
lichtpaars	lichtpaarse
frisgroen	frisgroene
onwelwillend	onwelwillende
schemerduister	schemerduistere
bloedwarm	bloedwarme
onnadrukkelijk	onnadrukkelijke
ongeautoriseerd	ongeautoriseerde
ongenummerd	ongenummerde
allerkleinst	allerkleinste
onontgonnen	
onuitgepakt	onuitgepakte
handelingsbekwaam	handelingsbekwame
roestkleurig	roestkleurige
pauwblauw	
hardplastic	
reislustig	reislustige
uitbehandeld	uitbehandelde
snelstromend	snelstromende
jonkvrouwelijk	jonkvrouwelijke
kleptocratisch	kleptocratische
alleraangenaamst	alleraangenaamste
allerhartelijkst	allerhartelijkste
etnografisch	etnografische
ongekrenkt	ongekrenkte
gedecolleteerd	gedecolleteerde
vierhoekig	vierhoekige
ontwijfelbaar	ontwijfelbare
loodkleurig	loodkleurige
nieuwmodisch	nieuwmodische
hartbrekend	hartbrekende
ultraconservatief	ultraconservatieve
goedverzorgd	goedverzorgde
ongeordend	ongeordende
rijkgeschakeerd	rijkgeschakeerde
onorigineel	onoriginele
prowesters	prowesterse
doodserieus	doodserieuze
lichtgebogen	
geitenleren	
hooggeëerd	hooggeëerde
schaapsleren	
diepgeworteld	diepgewortelde
onstoffelijk	onstoffelijke
onaangebroken	
onbedorven	onbedorvenste
ondoorwaadbaar	ondoorwaadbare
drietonig	drietonige
vermiljoenkleurig	vermiljoenkleurige
onopgehelderd	onopgehelderde
ongeregistreerd	ongeregistreerde
ongastvrij	ongastvrije
waskleurig	waskleurige
plaatijzeren	
teerbemind	teerbeminde
tegenoverliggend	tegenoverliggende
allerrijkst	allerrijkste
inhoudloos	inhoudloze
scheefgezakt	scheefgezakte
vrieskoud	vrieskoude
